RFP_ID,Buyer,Deadline_Date,Product_Type,Required_Area_mm2,Min_Voltage_kV,No_of_Cores,Armoured,Quantity_km,Required_Tests,Location,Estimated_Value_INR
RFP_1001,NTPC Limited,2025-12-10,HT Cable,95,11,3,Yes,50,"T001,T002,T003",Singrauli,37500000
RFP_1002,L&T EPC,2025-12-15,LT Cable,16,1.1,4,No,200,"T002,T003",Mumbai,24000000
RFP_1003,BHEL,2025-12-18,HT Cable,300,33,1,Yes,20,"T001,T004,T006",Haridwar,28000000
RFP_1004,Tata Power,2025-12-20,LT Cable,25,1.1,4,Yes,150,"T002,T003,T005",Delhi,14250000
RFP_1005,Adani Transmission,2025-12-22,EHV Cable,500,66,1,Yes,15,"T001,T006,T012,T026",Mundra,42000000
RFP_1006,Power Grid Corporation,2025-12-25,HT Cable,185,22,3,Yes,75,"T001,T002,T006,T013",Lucknow,93750000
RFP_1007,Reliance Infrastructure,2025-12-28,LT Cable,35,1.1,4,Yes,100,"T002,T003,T005",Nagpur,14500000
RFP_1008,NHPC Limited,2025-12-30,Control Cable,2.5,1.1,7,Yes,80,"T002,T003,T009",Faridabad,4960000
RFP_1009,Torrent Power,2026-01-05,HT Cable,120,11,3,Yes,40,"T001,T002,T003,T007",Ahmedabad,35600000
RFP_1010,CESC Limited,2026-01-08,LT Cable,50,1.1,4,Yes,120,"T002,T003,T005",Kolkata,27000000
RFP_1011,JSPL (Jindal Steel),2026-01-10,HT Cable,240,33,3,Yes,30,"T001,T004,T006,T011",Raigarh,49500000
RFP_1012,Vedanta Aluminium,2026-01-12,Control Cable,1.5,1.1,12,Yes,60,"T002,T009,T010",Jharsuguda,4680000
RFP_1013,GMR Energy,2026-01-15,HT Cable,70,11,3,Yes,55,"T001,T002,T003,T007",Hyderabad,37400000
RFP_1014,JSW Energy,2026-01-18,LT Cable,95,1.1,4,Yes,90,"T002,T003,T005,T007",Ratnagiri,34650000
RFP_1015,SAIL (Steel Authority),2026-01-20,Instrumentation Cable,4,0.6,2,Yes,45,"T002,T009,T018",Bokaro,1890000
RFP_1016,Indian Oil Corporation,2026-01-22,Control Cable,4,1.1,6,Yes,70,"T002,T003,T009,T018",Panipat,4060000
RFP_1017,BPCL Refineries,2026-01-25,LT Cable,70,1.1,4,Yes,85,"T002,T003,T005,T015",Kochi,24990000
RFP_1018,GAIL India,2026-01-28,Control Cable,2.5,1.1,19,Yes,40,"T002,T009,T015,T016",Vijaipur,5000000
RFP_1019,ONGC,2026-01-30,HT Cable,150,11,3,Yes,35,"T001,T002,T006,T015",Hazira,40250000
RFP_1020,Hindustan Zinc,2026-02-02,LT Cable,120,1.1,4,Yes,65,"T002,T003,T005,T007",Udaipur,30225000
RFP_1021,Coal India Limited,2026-02-05,HT Cable,50,11,3,Yes,80,"T001,T002,T003,T007",Dhanbad,41600000
RFP_1022,NMDC Limited,2026-02-08,Control Cable,2.5,1.1,8,Yes,55,"T002,T003,T009",Bacheli,3960000
RFP_1023,Hindalco Industries,2026-02-10,LT Cable,185,1.1,4,Yes,45,"T002,T003,T005,T011",Renukoot,30600000
RFP_1024,UltraTech Cement,2026-02-12,HT Cable,95,11,3,Yes,60,"T001,T002,T003,T007",Tadipatri,45000000
RFP_1025,Ambuja Cement,2026-02-15,LT Cable,16,1.1,4,Yes,100,"T002,T003,T022",Ropar,12000000
RFP_1026,ACC Limited,2026-02-18,Control Cable,1.5,1.1,10,Yes,75,"T002,T009,T022",Wadi,5100000
RFP_1027,Dalmia Bharat,2026-02-20,HT Cable,120,11,3,Yes,50,"T001,T002,T003",Dalmiapuram,44500000
RFP_1028,Shree Cement,2026-02-22,LT Cable,35,1.1,4,Yes,90,"T002,T003,T005",Beawar,13050000
RFP_1029,JK Cement,2026-02-25,Instrumentation Cable,1,0.6,4,Yes,35,"T002,T009,T020",Nimbahera,840000
RFP_1030,Birla Corporation,2026-02-28,HT Cable,70,11,3,Yes,45,"T001,T002,T003,T007",Satna,30600000
RFP_1031,DLF Limited,2026-03-02,LT Cable,25,1.1,4,Yes,120,"T002,T003,T022",Gurgaon,11400000
RFP_1032,Godrej Properties,2026-03-05,LT Cable,10,1.1,4,Yes,80,"T002,T003,T022",Mumbai,4400000
RFP_1033,Prestige Estates,2026-03-08,Control Cable,2.5,1.1,4,Yes,50,"T002,T009",Bangalore,1900000
RFP_1034,Sobha Limited,2026-03-10,LT Cable,6,1.1,4,No,65,"T002,T022,T023",Bangalore,2275000
RFP_1035,Brigade Enterprises,2026-03-12,LT Cable,4,1.1,4,No,70,"T002,T022",Bangalore,1540000
RFP_1036,Indian Railways,2026-03-15,HT Cable,185,22,3,Yes,100,"T001,T002,T006,T007,T011",New Delhi,125000000
RFP_1037,Delhi Metro,2026-03-18,HT Cable,240,33,3,Yes,25,"T001,T004,T006,T012",New Delhi,41250000
RFP_1038,Mumbai Metro,2026-03-20,LT Cable,95,1.1,4,Yes,60,"T002,T003,T005,T015",Mumbai,23100000
RFP_1039,Bangalore Metro,2026-03-22,Control Cable,2.5,1.1,24,Yes,40,"T002,T009,T015,T016",Bangalore,6200000
RFP_1040,Chennai Metro,2026-03-25,HT Cable,120,11,3,Yes,35,"T001,T002,T003,T015",Chennai,31150000
RFP_1041,Kolkata Metro,2026-03-28,LT Cable,50,1.1,4,Yes,50,"T002,T003,T005",Kolkata,11250000
RFP_1042,Lucknow Metro,2026-03-30,Control Cable,1.5,1.1,14,Yes,30,"T002,T009,T015",Lucknow,2760000
RFP_1043,Hyderabad Metro,2026-04-02,HT Cable,150,11,3,Yes,45,"T001,T002,T006,T015",Hyderabad,51750000
RFP_1044,Pune Metro,2026-04-05,LT Cable,70,1.1,4,Yes,55,"T002,T003,T005",Pune,16225000
RFP_1045,Ahmedabad Metro,2026-04-08,Control Cable,2.5,1.1,16,Yes,35,"T002,T009,T015",Ahmedabad,4025000
RFP_1046,Kochi Metro,2026-04-10,LT Cable,35,1.1,4,Yes,40,"T002,T003,T005",Kochi,5800000
RFP_1047,Jaipur Metro,2026-04-12,HT Cable,95,11,3,Yes,30,"T001,T002,T003",Jaipur,22500000
RFP_1048,Nagpur Metro,2026-04-15,LT Cable,25,1.1,4,Yes,45,"T002,T003,T022",Nagpur,4275000
RFP_1049,Navi Mumbai Metro,2026-04-18,Control Cable,1.5,1.1,30,Yes,25,"T002,T009,T015,T016",Mumbai,4375000
RFP_1050,Surat Metro,2026-04-20,HT Cable,70,11,3,Yes,40,"T001,T002,T003,T007",Surat,27200000











